Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Cambodia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",91.5,,2020,%,9.c.1,CAM
"China, People's Republic of","Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.9,,2020,%,9.c.1,PRC
Cook Islands,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",55,,2020,%,9.c.1,COO
Fiji,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,FIJ
Georgia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.7,,2020,%,9.c.1,GEO
"Hong Kong, China","Proportion of Population Covered by Mobile Network, LTE/WiMAX",99,,2020,%,9.c.1,HKG
India,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",98.5,,2020,%,9.c.1,IND
Indonesia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",96.1,,2020,%,9.c.1,INO
Kazakhstan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",81.3,,2020,%,9.c.1,KAZ
Kiribati,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",53.3,,2020,%,9.c.1,KIR
"Korea, Republic of","Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.9,,2020,%,9.c.1,KOR
Kyrgyz Republic,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",85,,2020,%,9.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",43,,2020,%,9.c.1,LAO
Malaysia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",93.5,,2020,%,9.c.1,MAL
Maldives,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2020,%,9.c.1,MLD
Marshall Islands,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",65,,2015,%,9.c.1,RMI
"Micronesia, Federated States of","Proportion of Population Covered by Mobile Network, LTE/WiMAX", – ,,2017,%,9.c.1,FSM
Mongolia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",73,,2020,%,9.c.1,MON
Myanmar,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",93.9,,2020,%,9.c.1,MYA
Nauru,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",30,,2020,%,9.c.1,NAU
Nepal,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",45,,2020,%,9.c.1,NEP
Niue,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2020,%,9.c.1,NIU
Pakistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",68.8,,2020,%,9.c.1,PAK
Palau,"Proportion of Population Covered by Mobile Network, LTE/WiMAX", … ,,2020,%,9.c.1,PAL
Papua New Guinea,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",50,,2020,%,9.c.1,PNG
Philippines,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,PHI
Samoa,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",49,,2020,%,9.c.1,SAM
Singapore,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2020,%,9.c.1,SIN
Solomon Islands,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",25,,2020,%,9.c.1,SOL
Sri Lanka,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",96,,2020,%,9.c.1,SRI
"Taipei,China","Proportion of Population Covered by Mobile Network, LTE/WiMAX", … ,,2020,%,9.c.1,TAP
Tajikistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,TAJ
Thailand,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",98,,2020,%,9.c.1,THA
Timor-Leste,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",45,,2020,%,9.c.1,TIM
Tonga,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",96,,2020,%,9.c.1,TON
Turkmenistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",67,,2020,%,9.c.1,TKM
Tuvalu,"Proportion of Population Covered by Mobile Network, LTE/WiMAX", – ,,2017,%,9.c.1,TUV
Uzbekistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",65.9,,2020,%,9.c.1,UZB
Vanuatu,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",70,,2020,%,9.c.1,VAN
Viet Nam,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.5,,2020,%,9.c.1,VIE
Afghanistan,Proportion of Population Living below the National Poverty Line,49.4,¤,2020,%,,AFG
Armenia,Proportion of Population Living below the National Poverty Line,27,,2020,%,,ARM
Azerbaijan,Proportion of Population Living below the National Poverty Line,6.2,,2020,%,,AZE
Bangladesh,Proportion of Population Living below the National Poverty Line,20.5,,2019,%,,BAN
Bhutan,Proportion of Population Living below the National Poverty Line,8.2,,2017,%,,BHU
Brunei Darussalam,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,BRU
Cambodia,Proportion of Population Living below the National Poverty Line,17.8,,2019,%,,CAM
"China, People's Republic of",Proportion of Population Living below the National Poverty Line, – ,¤,2020,%,,PRC
Cook Islands,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,COO
Fiji,Proportion of Population Living below the National Poverty Line,24.1,,2019,%,,FIJ
Georgia,Proportion of Population Living below the National Poverty Line,21.3,,2020,%,,GEO
"Hong Kong, China",Proportion of Population Living below the National Poverty Line,17.3,,2020,%,,HKG
India,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,IND
Indonesia,Proportion of Population Living below the National Poverty Line,10.1,,2021,%,,INO
Kazakhstan,Proportion of Population Living below the National Poverty Line,5.3,,2020,%,,KAZ
Kiribati,Proportion of Population Living below the National Poverty Line,21.9,,2020,%,,KIR
"Korea, Republic of",Proportion of Population Living below the National Poverty Line,15.3,,2020,%,,KOR
Kyrgyz Republic,Proportion of Population Living below the National Poverty Line,25.3,,2020,%,,KGZ
Lao People's Democratic Republic,Proportion of Population Living below the National Poverty Line,18.3,,2018,%,,LAO
Malaysia,Proportion of Population Living below the National Poverty Line,8.4,,2020,%,,MAL
Maldives,Proportion of Population Living below the National Poverty Line,5.4,,2019,%,,MLD
Marshall Islands,Proportion of Population Living below the National Poverty Line,7.2,,2019,%,,RMI
"Micronesia, Federated States of",Proportion of Population Living below the National Poverty Line, … ,,2020,%,,FSM
Mongolia,Proportion of Population Living below the National Poverty Line,27.8,,2020,%,,MON
Myanmar,Proportion of Population Living below the National Poverty Line,24.8,,2017,%,,MYA
Nauru,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,NAU
Nepal,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,NEP
Niue,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,NIU
Pakistan,Proportion of Population Living below the National Poverty Line,21.9,,2018,%,,PAK
Palau,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,PAL
Papua New Guinea,Proportion of Population Living below the National Poverty Line,37.5,,2017,%,,PNG
Philippines,Proportion of Population Living below the National Poverty Line,23.7,,2021,%,,PHI
Samoa,Proportion of Population Living below the National Poverty Line,22.7,*,2018,%,,SAM
Singapore,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,SIN
Solomon Islands,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,SOL
Sri Lanka,Proportion of Population Living below the National Poverty Line,4.1,,2016,%,,SRI
"Taipei,China",Proportion of Population Living below the National Poverty Line,1.3,,2020,%,,TAP
Tajikistan,Proportion of Population Living below the National Poverty Line,26.3,,2019,%,,TAJ
Thailand,Proportion of Population Living below the National Poverty Line,6.8,,2020,%,,THA
Timor-Leste,Proportion of Population Living below the National Poverty Line,41.8,,2014,%,,TIM
Tonga,Proportion of Population Living below the National Poverty Line,22.1,,2015,%,,TON
Turkmenistan,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,TKM
Tuvalu,Proportion of Population Living below the National Poverty Line, … ,,2020,%,,TUV
Uzbekistan,Proportion of Population Living below the National Poverty Line,11.5,,2020,%,,UZB
Vanuatu,Proportion of Population Living below the National Poverty Line,15.9,,2020,%,,VAN
Viet Nam,Proportion of Population Living below the National Poverty Line,6.7,,2018,%,,VIE
Afghanistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",29,,2020,%,6.2.1b,AFG
Armenia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",91,,2020,%,6.2.1b,ARM
Azerbaijan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",87,,2017,%,6.2.1b,AZE
Bangladesh,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",54,,2020,%,6.2.1b,BAN
Bhutan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",93,,2020,%,6.2.1b,BHU
Brunei Darussalam,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,BRU
Cambodia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",71,,2020,%,6.2.1b,CAM
"China, People's Republic of","Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,PRC
Cook Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,COO
Fiji,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,FIJ
Georgia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",87,,2020,%,6.2.1b,GEO
"Hong Kong, China","Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,HKG
India,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",60,,2020,%,6.2.1b,IND
Indonesia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",91,,2020,%,6.2.1b,INO
Kazakhstan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",99,,2019,%,6.2.1b,KAZ
Kiribati,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",51,,2020,%,6.2.1b,KIR
"Korea, Republic of","Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,KOR
Kyrgyz Republic,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",100,,2020,%,6.2.1b,KGZ
Lao People's Democratic Republic,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",46,,2020,%,6.2.1b,LAO
Malaysia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,MAL
Maldives,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",95,,2020,%,6.2.1b,MLD
Marshall Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",80,,2020,%,6.2.1b,RMI
"Micronesia, Federated States of","Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,FSM
Mongolia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",81,,2020,%,6.2.1b,MON
Myanmar,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",71,,2020,%,6.2.1b,MYA
Nauru,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,NAU
Nepal,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",59,,2020,%,6.2.1b,NEP
Niue,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,NIU
Pakistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",74,,2020,%,6.2.1b,PAK
Palau,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,PAL
Papua New Guinea,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",25,,2020,%,6.2.1b,PNG
Philippines,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",79,,2020,%,6.2.1b,PHI
Samoa,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,SAM
Singapore,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,SIN
Solomon Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",28,,2020,%,6.2.1b,SOL
Sri Lanka,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,SRI
"Taipei,China","Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,TAP
Tajikistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",68,,2020,%,6.2.1b,TAJ
Thailand,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",83,,2020,%,6.2.1b,THA
Timor-Leste,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",22,,2020,%,6.2.1b,TIM
Tonga,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",66,,2020,%,6.2.1b,TON
Turkmenistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",100,,2020,%,6.2.1b,TKM
Tuvalu,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,TUV
Uzbekistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural", … ,,2020,%,6.2.1b,UZB
Vanuatu,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",17,,2017,%,6.2.1b,VAN
Viet Nam,"Proportion of Population Using a Handwashing Facility with Soap and Water, Rural",82,,2020,%,6.2.1b,VIE
Afghanistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",38,,2020,%,6.2.1b,AFG
Armenia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",95,,2020,%,6.2.1b,ARM
Azerbaijan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",89,,2017,%,6.2.1b,AZE
Bangladesh,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",58,,2020,%,6.2.1b,BAN
Bhutan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",92,,2020,%,6.2.1b,BHU
Brunei Darussalam,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,BRU
Cambodia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",74,,2020,%,6.2.1b,CAM
"China, People's Republic of","Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,PRC
Cook Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,COO
Fiji,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,FIJ
Georgia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",92,,2020,%,6.2.1b,GEO
"Hong Kong, China","Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,HKG
India,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",68,,2020,%,6.2.1b,IND
Indonesia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",94,,2020,%,6.2.1b,INO
Kazakhstan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",99,,2019,%,6.2.1b,KAZ
Kiribati,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",56,,2020,%,6.2.1b,KIR
"Korea, Republic of","Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,KOR
Kyrgyz Republic,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",100,,2020,%,6.2.1b,KGZ
Lao People's Democratic Republic,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",56,,2020,%,6.2.1b,LAO
Malaysia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,MAL
Maldives,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",96,,2020,%,6.2.1b,MLD
Marshall Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",85,,2020,%,6.2.1b,RMI
"Micronesia, Federated States of","Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,FSM
Mongolia,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",86,,2020,%,6.2.1b,MON
Myanmar,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",75,,2020,%,6.2.1b,MYA
Nauru,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,NAU
Nepal,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",62,,2020,%,6.2.1b,NEP
Niue,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,NIU
Pakistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",80,,2020,%,6.2.1b,PAK
Palau,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,PAL
Papua New Guinea,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",30,,2020,%,6.2.1b,PNG
Philippines,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",82,,2020,%,6.2.1b,PHI
Samoa,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",79,,2020,%,6.2.1b,SAM
Singapore,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,SIN
Solomon Islands,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",39,,2019,%,6.2.1b,SOL
Sri Lanka,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,SRI
"Taipei,China","Proportion of Population Using a Handwashing Facility with Soap and Water, Total", … ,,2020,%,6.2.1b,TAP
Tajikistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",73,,2020,%,6.2.1b,TAJ
Thailand,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",85,,2020,%,6.2.1b,THA
Timor-Leste,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",28,,2020,%,6.2.1b,TIM
Tonga,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",70,,2020,%,6.2.1b,TON
Turkmenistan,"Proportion of Population Using a Handwashing Facility with Soap and Water, Total",100,,2020,%,6.2.1b,TKM
